rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Three Men and a Baby,167780960,167780960,100.0,,
2,Fatal Attraction,156645756,156645693,100.0,,
3,Beverly Hills Cop II,153665036,153665036,100.0,,
4,"Good Morning, Vietnam",123922578,123922370,100.0,208.0,0.1
5,Moonstruck,80641316,80640528,100.0,,
6,The Untouchables,76270454,76270454,100.0,,
7,The Secret of My Success,66995879,66995879,100.0,,
8,Stakeout,65673233,65673233,100.0,,
9,Lethal Weapon,65207187,65207127,100.0,,
10,The Witches of Eastwick,63766510,63766510,100.0,,
11,Dirty Dancing,63463682,63446382,100.0,,
12,Predator,59740758,59735548,100.0,,
13,Throw Momma from the Train,57915972,57915972,100.0,,
14,Dragnet,57387516,57387516,100.0,,
15,La Bamba,54215416,54215416,100.0,,
16,RoboCop,53425214,53424681,100.0,,
17,Outrageous Fortune,52864741,52864741,100.0,,
18,Broadcast News,51249404,51249404,100.0,,
19,The Living Daylights,51186196,51185897,100.0,,
20,Eddie Murphy: Raw,50505289,50504655,100.0,,
21,Full Metal Jacket,50192113,46357676,92.4,3825611.0,7.6
22,"Planes, Trains & Automobiles",49530280,49530280,100.0,,
23,Snow White and the Seven Dwarfs 1987 Re-release,46594212,46594212,100.0,,
24,A Nightmare on Elm Street 3: Dream Warriors,44793222,44793222,100.0,,
25,The Last Emperor,43985340,43984230,100.0,,
26,Wall Street,43848069,43848069,100.0,,
27,Mannequin,42721196,42721196,100.0,,
28,Roxanne,40050884,40050884,100.0,,
29,Blind Date,39321715,39321715,100.0,,
30,The Running Man,38122105,38122105,100.0,,
31,Spaceballs,38119483,38119483,100.0,,
32,Summer School,35659098,35659098,100.0,,
33,No Way Out,35509515,35509515,100.0,,
34,Like Father Like Son,34377585,34377585,100.0,,
35,Adventures in Babysitting,34368475,34368475,100.0,,
36,Cinderella 1987 Re-release,34101149,34101149,100.0,,
37,*batteries not included,32945797,32945797,100.0,,
38,The Lost Boys,32222906,32222567,100.0,,
39,Can't Buy Me Love,31623833,31623833,100.0,,
40,Nuts,30950002,30950002,100.0,,
41,The Princess Bride,30905140,30857814,99.8,,
42,Superman IV: The Quest for Peace,30281020,15681020,51.8,14600000.0,48.2
43,Revenge of the Nerds II: Nerds in Paradise,30063289,30063289,100.0,,
44,Harry and the Hendersons,29760613,29760613,100.0,,
45,Police Academy 4: Citizens on Patrol,28061343,28061343,100.0,,
46,Overboard,26713187,26713187,100.0,,
47,Baby Boom,26712476,26712476,100.0,,
48,Innerspace,25893810,25893810,100.0,,
49,Tin Men,25411386,25411386,100.0,,
50,Black Widow,25205460,25205460,100.0,,
51,Ernest Goes to Camp,23509382,23509382,100.0,,
52,Raising Arizona,22847564,22847564,100.0,,
53,Benji the Hunted,22257624,22257624,100.0,,
54,Empire of the Sun,22238696,22238696,100.0,,
55,Jaws: The Revenge,20763013,20763013,100.0,,
56,Hello Again,20419446,20419446,100.0,,
57,Critical Condition,20240502,20240502,100.0,,
58,The Principal,19734940,19734940,100.0,,
59,Suspect,18782400,18782400,100.0,,
60,The Believers,18753438,18753438,100.0,,
61,Some Kind of Wonderful,18553948,18553948,100.0,,
62,Project X,18532286,18532286,100.0,,
63,The Big Easy,17685307,17685307,100.0,,
64,The Aristocats 1987 Re-release,17452658,17452658,100.0,,
65,Born in East L.A.,17355263,17355263,100.0,,
66,Masters of the Universe,17336683,17336370,100.0,313.0,0.1
67,Angel Heart,17185632,17185632,100.0,,
68,Burglar,16337355,16337355,100.0,,
69,Over the Top,16057580,16057580,100.0,,
70,Flowers in the Attic,15151736,15151736,100.0,,
71,Radio Days,14792779,14792779,100.0,,
72,Hellraiser,14564027,14564027,100.0,,
73,Ishtar,14375181,14375181,100.0,,
74,Prince of Darkness,14182492,14182492,100.0,,
75,Creepshow 2,14000000,14000000,100.0,,
76,Hamburger Hill,13839404,13839404,100.0,,
77,The Gate,13539458,13539458,100.0,,
78,The Pick-up Artist,13290368,13290368,100.0,,
79,Back to the Beach,13110903,13110903,100.0,,
80,The Bedroom Window,12640385,12640385,100.0,,
81,The Fourth Protocol,12423831,12423831,100.0,,
82,Less Than Zero,12396383,12396383,100.0,,
83,Fatal Beauty,12046526,12046526,100.0,,
84,Extreme Prejudice,11307844,11307844,100.0,,
85,Light of Day,10489617,10489617,100.0,,
86,Disorderlies,10348437,10348437,100.0,,
87,Someone to Watch Over Me,10278549,10278549,100.0,,
88,Hope and Glory,10021120,10021120,100.0,,
89,Maid to Order,9868521,9868521,100.0,,
90,The Hidden,9747988,9747988,100.0,,
91,From the Hip,9518342,9518342,100.0,,
92,My Life as a Dog,8345266,8345266,100.0,,
93,Teen Wolf Too,7888703,7888703,100.0,,
94,House II: The Second Story,7800000,7800000,100.0,,
95,Wanted: Dead or Alive,7555000,7555000,100.0,,
96,Ironweed,7393346,7393346,100.0,,
97,Who's That Girl,7305209,7305209,100.0,,
98,Hiding Out,7019441,7019441,100.0,,
99,Death Wish 4: The Crackdown,6880310,6880310,100.0,,
100,The Chipmunk Adventure,6804312,6804312,100.0,,
101,Assassination,6075793,6075793,100.0,,
102,Evil Dead II,5924743,5923044,100.0,,
103,Cry Freedom,5899797,5899797,100.0,,
104,Wisdom,5715174,5715174,100.0,,
105,Surrender,5711976,5711976,100.0,,
106,Nadine,5669831,5669831,100.0,,
107,The Sicilian,5406879,5406879,100.0,,
108,Gardens of Stone,5262047,5262047,100.0,,
109,Hollywood Shuffle,5228617,5228617,100.0,,
110,Jean de Florette,4940939,4940939,100.0,,
111,Hannah and Her Sisters 1987 Re-release,4691838,4691838,100.0,,
112,Leonard Part 6,4615255,4615255,100.0,,
113,River's Edge,4600000,4600000,100.0,,
114,Made in Heaven,4572845,4572845,100.0,,
115,Death Before Dishonor,4546244,4546244,100.0,,
116,The Dead,4370078,4370078,100.0,,
117,The Color Purple 1987 Re-release,4292009,4292009,100.0,,
118,Best Seller,4278150,4278150,100.0,,
119,Hot Pursuit,4215849,4215849,100.0,,
120,American Ninja 2: The Confrontation,4000000,4000000,100.0,,
121,Manon of the Spring,3940542,3940542,100.0,,
122,My Demon Lover,3922273,3922273,100.0,,
123,North Shore,3832228,3832228,100.0,,
124,The Monster Squad,3769990,3769990,100.0,,
125,Allan Quatermain and the Lost City of Gold,3751699,3751699,100.0,,
126,Three O'Clock High,3685862,3685862,100.0,,
127,Big Shots,3390043,3390043,100.0,,
128,Near Dark,3369628,3369307,100.0,,
129,Wish You Were Here,3283832,3283832,100.0,,
130,Pinocchio and the Emperor of the Night,3261638,3261638,100.0,,
131,Barfly,3221568,3221568,100.0,,
132,Malone,3060858,3060858,100.0,,
133,Sign 'o' the Times,3000073,3000073,100.0,,
134,No Man's Land,2877571,2877571,100.0,,
135,Heat,2793214,2793214,100.0,,
136,The Allnighter,2700000,2700000,100.0,,
137,Hello Mary Lou: Prom Night II,2683519,2683519,100.0,,
138,The Care Bears Adventure in Wonderland,2608000,2608000,100.0,,
139,House of Games,2585639,2585639,100.0,,
140,The Stepfather,2488740,2488740,100.0,,
141,Maurice,2439061,2438304,100.0,,
142,Dead of Winter,2413427,2413427,100.0,,
143,The Kindred,2407024,2407024,100.0,,
144,Weeds,2325444,2325444,100.0,,
